dataset_name,n_samples,n_features,n_classes,class_balance,feature_mean,feature_std,coeff_variation,pca_explained_variance,avg_mutual_info,avg_skewness,avg_kurtosis,mean_abs_correlation,n_zero_variance_features,mean_variance,median_variance,mean_feature_entropy,model_name,accuracy_val,precision_val,recall_val,f1_score_val,auc_roc_val,accuracy_test,precision_test,recall_test,f1_score_test,auc_roc_test
Digits,1077,64,10,"[0.09842154131847725, 0.10120705663881151, 0.09935004642525534, 0.10120705663881151, 0.10120705663881151, 0.10120705663881151, 0.10120705663881151, 0.09935004642525534, 0.09656453110492108, 0.10027855153203342]",0.0017653856026387568,0.9534226143543688,540.0647954357786,0.44128820093681953,0.21904574169336172,3.6301728318449875,74.4466024236917,,3,0.9087959807910522,0.9902721932878927,1.3209090565335462,Logistic Regression,0.9722222222222222,0.9731703131703131,0.9721385671385671,0.9723752603395079,0.999316008824322,0.9583333333333334,0.957898196737206,0.9579365079365079,0.9576921988552319,0.9989251375510634
Digits,1077,64,10,"[0.09842154131847725, 0.10120705663881151, 0.09935004642525534, 0.10120705663881151, 0.10120705663881151, 0.10120705663881151, 0.10120705663881151, 0.09935004642525534, 0.09656453110492108, 0.10027855153203342]",0.0017653856026387568,0.9534226143543688,540.0647954357786,0.44128820093681953,0.21904574169336172,3.6301728318449875,74.4466024236917,,3,0.9087959807910522,0.9902721932878927,1.3209090565335462,Random Forest,0.9805555555555555,0.9816812865497075,0.9803968253968254,0.9805595027343162,0.9994817132494491,0.95,0.9518446160180032,0.9495195195195196,0.9494466790180466,0.9986742049699794
Digits,1077,64,10,"[0.09842154131847725, 0.10120705663881151, 0.09935004642525534, 0.10120705663881151, 0.10120705663881151, 0.10120705663881151, 0.10120705663881151, 0.09935004642525534, 0.09656453110492108, 0.10027855153203342]",0.0017653856026387568,0.9534226143543688,540.0647954357786,0.44128820093681953,0.21904574169336172,3.6301728318449875,74.4466024236917,,3,0.9087959807910522,0.9902721932878927,1.3209090565335462,Decision Tree,0.8277777777777777,0.8311465100389354,0.8274088374088375,0.8278101447303705,0.9041331436506876,0.8166666666666667,0.8211717993300717,0.8159845559845561,0.8170210988263651,0.8978084702661586
Digits,1077,64,10,"[0.09842154131847725, 0.10120705663881151, 0.09935004642525534, 0.10120705663881151, 0.10120705663881151, 0.10120705663881151, 0.10120705663881151, 0.09935004642525534, 0.09656453110492108, 0.10027855153203342]",0.0017653856026387568,0.9534226143543688,540.0647954357786,0.44128820093681953,0.21904574169336172,3.6301728318449875,74.4466024236917,,3,0.9087959807910522,0.9902721932878927,1.3209090565335462,K-Nearest Neighbors,0.9583333333333334,0.9626456876456878,0.9579322179322179,0.9584605301188063,0.9965553827890057,0.9638888888888889,0.9654210579442777,0.9637215787215787,0.9637030715403331,0.9948730130475859
Digits,1077,64,10,"[0.09842154131847725, 0.10120705663881151, 0.09935004642525534, 0.10120705663881151, 0.10120705663881151, 0.10120705663881151, 0.10120705663881151, 0.09935004642525534, 0.09656453110492108, 0.10027855153203342]",0.0017653856026387568,0.9534226143543688,540.0647954357786,0.44128820093681953,0.21904574169336172,3.6301728318449875,74.4466024236917,,3,0.9087959807910522,0.9902721932878927,1.3209090565335462,XGBoost,0.9722222222222222,0.9724848886923191,0.972142857142857,0.9720523590688931,0.9995194546194546,0.9638888888888889,0.9646096593465014,0.9634920634920634,0.9634904379542542,0.998617802499284
Wine,106,13,3,"[0.330188679245283, 0.4056603773584906, 0.2641509433962264]",-0.03502717288907921,0.9848134579653686,-28.11569923396285,0.8096815541678827,0.3655563280623141,0.32240328450992045,-0.05947659494433241,0.30576331757649566,0,0.9689208095583778,0.9457198868702279,2.045812214786753,Logistic Regression,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,1.0
Wine,106,13,3,"[0.330188679245283, 0.4056603773584906, 0.2641509433962264]",-0.03502717288907921,0.9848134579653686,-28.11569923396285,0.8096815541678827,0.3655563280623141,0.32240328450992045,-0.05947659494433241,0.30576331757649566,0,0.9689208095583778,0.9457198868702279,2.045812214786753,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wine,106,13,3,"[0.330188679245283, 0.4056603773584906, 0.2641509433962264]",-0.03502717288907921,0.9848134579653686,-28.11569923396285,0.8096815541678827,0.3655563280623141,0.32240328450992045,-0.05947659494433241,0.30576331757649566,0,0.9689208095583778,0.9457198868702279,2.045812214786753,Decision Tree,0.9166666666666666,0.923076923076923,0.9246031746031745,0.9229629629629629,0.9408369408369408,0.8888888888888888,0.9010989010989011,0.8912698412698412,0.8948370927318295,0.9165945165945164
Wine,106,13,3,"[0.330188679245283, 0.4056603773584906, 0.2641509433962264]",-0.03502717288907921,0.9848134579653686,-28.11569923396285,0.8096815541678827,0.3655563280623141,0.32240328450992045,-0.05947659494433241,0.30576331757649566,0,0.9689208095583778,0.9457198868702279,2.045812214786753,K-Nearest Neighbors,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,1.0,1.0,1.0,1.0,1.0,1.0
Wine,106,13,3,"[0.330188679245283, 0.4056603773584906, 0.2641509433962264]",-0.03502717288907921,0.9848134579653686,-28.11569923396285,0.8096815541678827,0.3655563280623141,0.32240328450992045,-0.05947659494433241,0.30576331757649566,0,0.9689208095583778,0.9457198868702279,2.045812214786753,XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fashion MNIST,6000,784,10,"[0.0995, 0.10016666666666667, 0.09966666666666667, 0.10433333333333333, 0.09466666666666666, 0.10216666666666667, 0.10316666666666667, 0.09816666666666667, 0.0955, 0.10266666666666667]",-0.0019672116638032784,0.9910952252810054,-503.80711110917605,0.5204967780948794,0.2604096921059043,3.1357623822387697,90.19350996073649,0.21551621724199543,0,0.9822184980794517,0.9975342472425851,1.4386296301111987,Logistic Regression,0.7915,0.7925220726823279,0.7917450018334419,0.7915143406320342,0.9704689914688572,0.799,0.8020219113944206,0.7990063453789708,0.7999354593611464,0.9711091856838394
Fashion MNIST,6000,784,10,"[0.0995, 0.10016666666666667, 0.09966666666666667, 0.10433333333333333, 0.09466666666666666, 0.10216666666666667, 0.10316666666666667, 0.09816666666666667, 0.0955, 0.10266666666666667]",-0.0019672116638032784,0.9910952252810054,-503.80711110917605,0.5204967780948794,0.2604096921059043,3.1357623822387697,90.19350996073649,0.21551621724199543,0,0.9822184980794517,0.9975342472425851,1.4386296301111987,Random Forest,0.859,0.8564948549384045,0.8595913983291755,0.8569282701545953,0.9851213370784745,0.845,0.8439598874914269,0.8458026793028287,0.84374906252103,0.9851338073616779
Fashion MNIST,6000,784,10,"[0.0995, 0.10016666666666667, 0.09966666666666667, 0.10433333333333333, 0.09466666666666666, 0.10216666666666667, 0.10316666666666667, 0.09816666666666667, 0.0955, 0.10266666666666667]",-0.0019672116638032784,0.9910952252810054,-503.80711110917605,0.5204967780948794,0.2604096921059043,3.1357623822387697,90.19350996073649,0.21551621724199543,0,0.9822184980794517,0.9975342472425851,1.4386296301111987,Decision Tree,0.75,0.753297001957255,0.7498579460070834,0.7512972403680183,0.8610363967544028,0.7465,0.750510982614936,0.7466644900946295,0.7478134422968582,0.8592467981565223
Fashion MNIST,6000,784,10,"[0.0995, 0.10016666666666667, 0.09966666666666667, 0.10433333333333333, 0.09466666666666666, 0.10216666666666667, 0.10316666666666667, 0.09816666666666667, 0.0955, 0.10266666666666667]",-0.0019672116638032784,0.9910952252810054,-503.80711110917605,0.5204967780948794,0.2604096921059043,3.1357623822387697,90.19350996073649,0.21551621724199543,0,0.9822184980794517,0.9975342472425851,1.4386296301111987,K-Nearest Neighbors,0.8165,0.8202009040246718,0.8167020599957088,0.8163195435899345,0.9591181969178291,0.796,0.803636552472274,0.796686198241947,0.7971279794023929,0.9531935511098724
Fashion MNIST,6000,784,10,"[0.0995, 0.10016666666666667, 0.09966666666666667, 0.10433333333333333, 0.09466666666666666, 0.10216666666666667, 0.10316666666666667, 0.09816666666666667, 0.0955, 0.10266666666666667]",-0.0019672116638032784,0.9910952252810054,-503.80711110917605,0.5204967780948794,0.2604096921059043,3.1357623822387697,90.19350996073649,0.21551621724199543,0,0.9822184980794517,0.9975342472425851,1.4386296301111987,XGBoost,0.8765,0.8752787917462358,0.8770937303606952,0.8756802288950762,0.9880797691997948,0.865,0.8646277478588236,0.865878170318004,0.8647827489423493,0.9879841647734386
